Karmn,Name,RA_J2000,DE_J2000,Ref01,muRA_masa-1,muDE_masa-1,Ref07,pi_mas,Ref08,Vr_kms-1,Ref10,BP_mag,Ref25,RP_mag,Ref32,Gaia_id
J00328-045,GR* 50,00:32:53.13,-04:34:07.3,DR3,81.7475464305703,-131.337667269188,DR3,52.8528676962033,DR3,13.548,DR3,14.2404,DR3,11.2006,UCAC4,2528227035593363840
J00333+368,G 132-004,00:33:20.51,+36:50:26.5,DR3,496.675108626876,128.403902181749,DR3,43.0303001787725,DR3,-41.893,DR3,12.916,DR3,10.3403,UCAC4,366607726803661568
J00341+253,V* V493 And A,00:34:08.38,+25:23:50.1,DR3,82.9689232713314,-97.3554729003183,DR3,20.1008695050432,DR3,-10.193,DR3,11.8916,DR3,10.2216,UCAC4,2807539376010425728
J00346+711,LP 028-158,00:34:37.67,+71:11:42.1,DR3,523.648962087723,-343.909802548735,DR3,51.7960006082737,DR3,-30.644,DR3,13.8025,DR3,11.1084,UCAC4,536325146216950016
J00357+025,NLTT 1930,00:35:43.12,+02:33:13.6,DR3,170.383269717205,-167.844514042401,DR3,36.149920760446,DR3,5.741,DR3,16.4668,DR3,12.7139,APASS9,2550544720750455040
J00358+526,G 172-11,00:35:53.33,+52:41:12.2,DR3,777.168600019981,-181.75470165921,DR3,41.1702410075029,DR3,-0.637,DR3,12.7919,DR3,10.4016,APASS9,416158489625704320
J00359+104,GJ 1014,00:35:55.52,+10:28:35.5,DR3,1085.06550670939,-384.919697252616,DR3,69.4689550374275,DR3,22.931,DR3,15.6294,DR3,12.2292,UCAC4,2751296646125543040
J00361+455,G 172-013,00:36:08.43,+45:30:57.6,DR3,-248.1,-145.0,Gall15,43.9,vAl95,-29.4,Z21,11.971,DR3,9.6174,UCAC4,389034602914964736
J00374+515,G 172-014,00:37:25.94,+51:33:07.3,DR3,-505.388328109052,-31.1254313957278,DR3,30.732950740777,DR3,-56.97,DR3,11.6851,DR3,9.713,UCAC4,415710679155061248
J00380+169,2MASS J00380386+1656028,00:38:03.86,+16:56:02.8,DR3,-104.783616333754,-96.3406516519854,DR3,47.588848783999,DR3,18.429,DR3,13.4684,DR3,10.9136,UCAC4,2782423820307949952
J00382+523,G 218-005,00:38:15.29,+52:19:55.5,DR3,-74.8884851724092,-137.302804736483,DR3,43.4445300916147,DR3,3.107,DR3,10.6991,DR3,8.8848,UCAC4,416135846558362112
J00385+514,G 172-015,00:38:33.88,+51:27:57.9,DR3,-228.566094674802,35.5386261254158,DR3,55.8289804408257,DR3,14.577,DR3,12.8359,DR3,10.3744,UCAC4,415665118140313472
J00389+306,Wolf 1056,00:38:59.04,+30:36:58.4,DR3,1557.92161834699,26.8033982246336,DR3,78.8965146825338,DR3,-0.782,DR3,11.3145,DR3,8.9402,SDSS9,2858600494141185280
J00395+149N,LP 465-062,00:39:33.79,+14:54:35.0,DR3,327.538926275703,29.7467531582914,DR3,34.2579416982032,DR3,4.049,DR3,14.748,DR3,11.6808,SDSS9,2779735819320035840
J00395+149S,LP 465-061,00:39:33.55,+14:54:19.1,DR3,331.907687166005,34.9489427383452,DR3,34.8168711160505,DR3,3.501,DR3,14.4672,DR3,11.6824,SDSS9,2779735823615714176
J00395+605,G 217-061,00:39:33.85,+60:33:15.6,DR3,-157.749235693948,-292.625468234223,DR3,27.1237130612646,DR3,-35.707,DR3,13.1158,DR3,10.7019,PS1,427104673334306176
J00403+612,2MASS J00402129+6112490,00:40:21.29,+61:12:49.1,DR3,48.5763676377694,-55.7343883322788,DR3,19.3277315378551,DR3,3.536,DR3,13.6693,DR3,11.4865,UCAC4,427224073427887360
J00409+313,G 69-11,00:40:56.25,+31:22:56.5,DR3,-42.7645609514099,-331.446329849034,DR3,44.3910271744455,DR3,1.182,DR3,14.0668,DR3,11.2466,UCAC4,360654214936676224
J00413+558,GJ 1015A,00:41:20.83,+55:50:04.4,DR3,324.328197076056,-73.2562760842141,DR3,43.7345720355051,DR3,-40.678,DR3,14.2919,DR3,11.5097,PS1,418491408481398272
J00427+438,2MASS J00424780+4349248,00:42:47.82,+43:49:24.8,DR3,-24.1751938741404,-49.6137854466689,DR3,47.6126032419936,DR3,-28.187,DR3,12.433,DR3,10.0092,UCAC4,387570740621702400
J00428+355,FF And,00:42:48.25,+35:32:55.7,DR3,262.041355783914,77.880921252031,DR3,46.125315090584,DR3,2.633,DR3,10.6432,DR3,8.5251,UCAC4,365548347350541952
J00435+284,GJ 1019,00:43:35.59,+28:26:41.4,DR3,-127.11749758606,-1063.95100134952,DR3,47.9334210061076,DR3,-55.822,DR3,14.8103,DR3,12.044,UCAC4,2810002011474061568
J00443+091,NLTT 2413,00:44:20.66,+09:07:34.5,DR3,813.089789222866,-2.55305632041461,DR3,40.0108880483193,DR3,0.788,DR3,14.3168,DR3,11.3227,UCAC4,2557991713005259392
J00443+126,G 32-44,00:44:19.33,+12:37:02.7,DR3,283.303775314652,-184.065356161052,DR3,50.6476711722432,DR3,32.011,DR3,13.0549,DR3,10.4429,UCAC4,2775987485397299072
J00449-152,NLTT 2465,00:44:59.33,-15:16:17.5,DR3,318.15206294182,-596.622905102771,DR3,66.8287447208579,DR3,-13.742,DR3,14.4145,DR3,11.3835,UCAC4,2371032916186181760
J00459+337,G 132-25,00:45:56.68,+33:47:11.1,DR3,262.870415768799,12.1857548044296,DR3,49.9259285834592,DR3,-47.2,D22,15.565,DR3,12.1825,UCAC4,362091963829100672
